Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fiji,FJI,45106,40320,37237.8,49632.66,47390,48733,47247,46595,46387,41943,46907,46851,42639,43312,41266,44826,47500,42729.41,41698.87,37462.12,32874.48
France,FRA,671905.7,701925,709038.7,664898.2,598482.8,595153.9,553685.7,500162.8,440199.3,452243.5,502006.02,473308.8,540519.91,548001.9,541593.04,558248.89,553672.21,578630.46,523735.6,478162.62,510109.6
Faroe Islands,FRO,515909,525991,620991,599386,565260,623122,620834,518267,351018,393875,354956,360471,487140,542836,585564,568435,701892,660056,653118.8,646289.7,540603.52
"Micronesia, Fed. Sts.",FSM,19471,22926,33753,31972,32361,15442,20873,25445,28606,31526,38142.06,48420.62,40972.1,52496,71567,88690,101417,137920.65,181769.51,193747.86,166333.97
Gabon,GAB,42871,41570,45479,46072,43863,41521,37814,31326,29589,32692,36522,36500,36600,36855,33000,31000,29000,29000,29000,28880,29860
United Kingdom,GBR,769481,728987,643819,654495,670334,624684,619692,595993,590853,612629,601079.96,631326.52,632342.04,755988.02,706148.04,697254.31,725343.14,699262.96,618928.18,626404.8,634418.61
Georgia,GEO,1636,1811,3306,11988,9974,14746,44068,48443,50026,46049,26547,12070,15520,19020,22520,44708.69,137423.38,203523.5,251755.45,207150,217575.05
Ghana,GHA,450353,375182,393547,420674.4,381637.89,378642.99,327294.01,335694.14,304584,351458.65,349760.3,356346.57,289951.74,323585.15,344325.91,324076.57,368178.76,359977.37,318005.72,370969.15,392761.55
Guinea,GIN,105404,93754,121925,97730,109138,104718,82073,94513,127746,113504,184962,198282,230049,207348,184652,159402,321169,293007,359837,309570,325120
"Gambia, The",GMB,34527,37405,37366,32817,34955,37477,43574,42881,45884,46624,41500,36062,43726,51500,55968,58261,60461,49526,56198.66,50989.79,52651.97
Guinea-Bissau,GNB,6848,7324,6153,6650,6983,7067,6500,6804,6721,6584,6549,8750,11750,15750,21150,28450,38350,52253.67,60150,62392.45,63221
Equatorial Guinea,GNQ,3600,3550,3550,3500,3750,4000,4533,5400,7669,7376,7115,7834,6926.15,6067.92,6423.26,6455.29,6377,6407.61,6417.72,5958.28,6307.12
Greece,GRC,94196.4,96078.9,93781.4,93891.4,92430.5,98239.7,96095.8,85885.3,83181.8,70179.8,63246.49,61044.2,64169.77,61260.7,65372.6,75533.3,78316,77714.8,83173,71476.01,59632
Grenada,GRD,2250,2171,2544,2039,2048,2163,2207,2386,2648,2182,2411.47,2379.63,2856.67,2665,2472.5,2740.27,2444.15,2540.42,2058.89,1913.89,1023.98
Greenland,GRL,158485,195624,175321,212988,234864,252959,233754,241899,214667,209446,214493,222894,275432,292441,268371,273175,310741,301052,265179,259209,271027
Guatemala,GTM,29704,23427,23696,10012,18979,17569,17965,23291,20149,22332,19844.51,15291.25,17686.39,18075.6,15153.76,15981.69,15375.72,14075.13,15714.26,11489.61,11082.06
Guam,GUM,673,435,456,532,280,418,326,329,462,167.77,120.49,101.48,108.68,87.41,71.62,69.8,152.42,94.85,90.2,47.14,25.69
Guyana,GUY,53405,48017,59695,56719,53370,53763,47448,42168,43605,45188,43185,53844,49268,37746,36558,42142,42977,41388,39087,39986.9,34216.25
"Hong Kong SAR, China",HKG,173972,169790,157444,167544,161964,154536,154147,158126,158965,168010,170720,155230,170129,160789,145193,142775,127554,124299,122929,119428,115178.98
Honduras,HND,22292,15789,17343,17569,21139,22546,16636,14160,12408,12075,11181,12198,11849,8639,10759,10600,10800,11300,11912,15818.82,16250.39
Croatia,HRV,18551.12,21235.54,19957.04,30172.12,34693.09,37876.13,40225.63,49062.08,55788.5,52867.3,71396.06,64389.18,75832.34,80369.89,73945,73301.74,69940.39,70558,64581.41,71637.7,62422.22
Haiti,HTI,7810,8110,8310,9660,11010,12260,13510,14810,16010,13710,16530,16510,16510,16510,16510,16510,16510,16350,16350,16350,16220
Hungary,HUN,6638,6750,6536,7242,7609,7543,7024,7394,6366,6216,7048,6717,6472,7463,5926,5091,5636,5249,4836,5483.1,4600.53
IBRD only,IBD,55943241.81,56885566.19,54065104.41,58746133.63,58429062.15,56393577.96,56703167.36,56719399.82,56554683.14,54055590.81,58473353.41,55908092.2,56605591.93,56239320.44,57575615.83,56491773.48,57993001.31,60555760.63,57793872.19,56502773.78,58372987.64
IDA & IBRD total,IBT,63890500.62,64975682.99,62661847.44,68070910.01,68073225.17,66230456.81,66705708.4,66686223.67,67021644.16,64741747.1,69419070.17,67180763.46,68017856.7,67975028.62,69270423.97,68799629.37,71296177.53,74018117.39,71202180.85,69541703.95,71440487.33
IDA total,IDA,7947258.81,8090116.8,8596743.03,9324776.38,9644163.02,9836878.85,10002541.04,9966823.85,10466961.02,10686156.29,10945716.76,11272671.26,11412264.77,11735708.18,11694808.14,12307855.89,13303176.22,13462356.76,13408308.66,13038930.17,13067499.69
